node ID: 2302, ground truth SMILE: C1=CC=C(C(=C1)C(=O)O)C(=O)O
smiles: CCNC1=NC(=NC(=N1)Cl)N(CC)CC, s:  0.00350
node ID: 7840, ground truth SMILE: CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C
top 10 test cadidates: 
smiles: CCCCCCOC1=CC=CC(=C1C(=O)[O-])N=C(N)N, s:  0.00019
smiles: CCCCCCCCC1=CC=CC=C1OC(=O)C(=O)O, s:  0.00019
smiles: C/C(=C(/C(=O)N1CCCC(C1=O)CCCC=C)\[N+]#N)/O, s:  0.00019
smiles: CCCCCC/C=C/C1=C(C(=CC(=C1)OC)O)C(=O)O, s:  0.00019
smiles: CCCCC(C1=CC=CC=C1)C(=O)OOC(=O)CCC, s:  0.00019
smiles: CCCCC(C1=CC=CC=C1)C(=O)OOC(=O)C(C)C, s:  0.00019
smiles: CCCCCC/C=C/CC1=CC(=C(C(=C1)O)O)C(=O)O, s:  0.00019
smiles: CC[C@H](C)/C=C(\C)/C=C/C(=O)CC1=C[C@@H]([C@@H](C1=O)O)O, s:  0.00019
smiles: CC/C=C/CCC(C)C1=CC(=C(C(=O)O1)C(=O)CC)O, s:  0.00019
smiles: CC(=CCC1=C(C(=CC=C1)OC(=O)OC(C)(C)C)O)C, s:  0.00019
node ID: 6224, ground truth SMILE: CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C
top 10 test cadidates: 
smiles: CCN1C(=C(C(=O)N1C2=CC=CC=C2)NC=O)C, s:  0.00008
smiles: CCN1C(=O)C(=C(N1C2=CC=CC=C2)C)NC=O, s:  0.00008
smiles: CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C, s:  0.00007
smiles: CCC1=C(C(=O)N(N1C2=CC=CC=C2)C)NC=O, s:  0.00007
smiles: CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C=O, s:  0.00007
smiles: CC1=C(C(=O)N(N1C)C2=CC=CC=C2)CC(=O)N, s:  0.00006
smiles: CC1=C(C(=O)N(N1C2=CC=CC=C2)C)NC(=O)C, s:  0.00006
smiles: CN1C(=C(C(=O)N1C2=CC=CC=C2)N(C)C)C=O, s:  0.00006
smiles: CC1=CC(=CC=C1)N2C(=O)C(=C(N2C)C)C(=O)N, s:  0.00006
smiles: CC1CC(=O)N(N=C1C2=CC(=CC=C2)NC=O)C, s:  0.00006
node ID: 6473, ground truth SMILE: CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=O)O
top 10 test cadidates: 
smiles: CCC=CC=CC=CC=CCCCCOC(=O)O, s:  0.00010
smiles: CCCCCCCCC#CC#CCC(C(=O)O)O, s:  0.00010
smiles: CCCCCCC1=CC=C(C=C1)C(CC(=O)O)O, s:  0.00010
smiles: CCCCCC#CC#CCCCCC(C(=O)O)O, s:  0.00010
smiles: CCCCCCCCC1=CC=CC=C1C(=O)OO, s:  0.00010
smiles: CC/C=C/C1(C(C=CC=C1CO)CCC(=O)O)C, s:  0.00010
smiles: CCCCCCCCC1=CC=C(C=C1)OC(=O)O, s:  0.00010
smiles: CCCCCCCCC1=CC=CC=C1OC(=O)O, s:  0.00010
smiles: CCCCC1=CC=C(C=C1)[C@@H](CCCC(=O)O)O, s:  0.00010
smiles: CCCCCC#CCC#CC[C@H](CC(=O)OC)O, s:  0.00010
node ID: 14827, ground truth SMILE: CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
top 10 test cadidates: 
smiles: CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O, s:  0.03086
smiles: CC(COC(C)COC(C)COC(C)COCC(C)OCC(C)OCC(C)OCC(C)O)O, s:  0.01856
smiles: CN1CCC2C3CC(CCC3C2C1)C4CN(C(S4)NCC(CC5CCC(C(C5)F)OC)N)C, s:  0.01018
smiles: CCCCCCCCCCCCCC1=CC(=O)NC(=N1)NC(=O)NCCOCCOCCOC, s:  0.00994
smiles: CC1=C(C(=NN1C)C)CN2CCCCOC[C@H]([C@H]([C@@H](CN(CC2)C(=O)C)OCCC(C)C)O)O, s:  0.00987
smiles: CC/C=C/C/C=C/C/C=C/CCCCCCC(=O)OCC(COCCC(C(=O)O)[N+](C)(C)C)O, s:  0.00987
smiles: CCC1=NC(=C(N1)C)CN2CCCCOC[C@H]([C@H]([C@@H](CN(CC2)C(=O)C)OCCC(C)C)O)O, s:  0.00985
smiles: CCCN1C=C(C=N1)CN2CCCCOC[C@H]([C@H]([C@@H](CN(CC2)C(=O)C)OCCC(C)C)O)O, s:  0.00984
smiles: CC(C)CCO[C@@H]1CN(CCN(CCCCOC[C@H]([C@H]1O)O)CC2=CC=NN2C(C)C)C(=O)C, s:  0.00983
smiles: CN1CCC(CC1)OC2CCN(CC2)C3CCNCC3NC(=O)C4C(NN5C4NCC(C5)F)N, s:  0.00974
node ID: 14826, ground truth SMILE: CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
top 10 test cadidates: 
smiles: CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O, s:  0.02337
smiles: CC(COC(C)COC(C)COC(C)COCC(C)OCC(C)OCC(C)OCC(C)O)O, s:  0.01673
smiles: CC(COCC(C)OC(C)(C)OC(C)COCC(C)OC(C)(C)OC(C)COCC(C)O)O, s:  0.00684
smiles: CN1CCC2C3CC(CCC3C2C1)C4CN(C(S4)NCC(CC5CCC(C(C5)F)OC)N)C, s:  0.00674
smiles: CCCCCCCCCCCCCCCCSC(C)CO[P+](O)([O-])OCC[N+](C)(C)C, s:  0.00639
smiles: CCCCCCCCCCCCCC1=CC(=O)NC(=N1)NC(=O)NCCOCCOCCOC, s:  0.00624
smiles: CC(=C)C(=O)OCCCCCCCCCCSCCCCCCCCCCOC(=O)C(=C)C, s:  0.00624
smiles: CCCCCCCCCCCCCCCCSCCCOP(=O)(O)OCC[N+](C)(C)C, s:  0.00618
